Wall time,Step,Value
1682431550.966704,425,1883.972412109375
1682431559.4788795,426,1923.6715087890625
1682431567.609353,427,2003.32177734375
1682431575.8621218,428,1823.733154296875
1682431584.1951056,429,1842.2789306640625
1682431592.6304753,430,1848.5465087890625
1682431600.959153,431,1813.4775390625
1682431609.3615532,432,1913.354248046875
1682431617.742158,433,1855.8240966796875
1682431626.0386467,434,1864.3009033203125
1682431634.446867,435,1987.7227783203125
1682431642.791005,436,1973.604248046875
1682431651.138737,437,1969.936767578125
1682431659.561443,438,2001.508056640625
1682431668.0883517,439,2126.840576171875
1682431676.4106977,440,2075.995361328125
1682431685.659493,441,1988.648681640625
1682431694.2748718,442,1964.858154296875
1682431702.8794215,443,2092.765380859375
1682431711.3089662,444,2073.125244140625
1682431719.5519545,445,2182.7919921875
1682431728.032556,446,2139.86669921875
1682431737.192684,447,2230.13525390625
1682431746.0694084,448,2102.10009765625
1682431754.6463537,449,2034.2608642578125
1682431763.3126416,450,2046.937744140625
1682431771.7450511,451,1996.3826904296875
1682431780.183367,452,2313.82568359375
1682431788.8814175,453,2461.9951171875
1682431797.4920952,454,2210.0703125
1682431805.9832828,455,1899.061279296875
1682431814.4421263,456,1837.0787353515625
1682431822.8583071,457,1786.0472412109375
1682431831.9800825,458,1790.961181640625
1682431840.2811606,459,1777.274658203125
1682431848.7881584,460,1810.6253662109375
1682431857.0869672,461,1814.77587890625
1682431865.5583718,462,1917.9837646484375
1682431874.124606,463,1946.640625
1682431882.5634396,464,1859.8037109375
1682431891.0807948,465,1838.044921875
1682431899.5295994,466,1827.9705810546875
1682431908.0207312,467,1816.9453125
1682431916.528164,468,1827.279296875
1682431924.9726431,469,1809.6170654296875
1682431933.5064929,470,1801.71337890625
1682431942.5468419,471,1820.5264892578125
1682431951.5400708,472,1823.5584716796875
1682431960.6418607,473,1807.8243408203125
1682431969.8844097,474,1803.6834716796875
1682431978.3432026,475,1767.07177734375
1682431987.332046,476,1858.015625
1682431995.9284282,477,1772.6846923828125
1682432004.5909367,478,1774.2896728515625
1682432013.1245604,479,1702.8275146484375
1682432021.6542747,480,1696.77490234375
1682432030.1953843,481,1673.3470458984375
1682432038.6171443,482,1721.5205078125
1682432047.0289202,483,1732.7095947265625
1682432055.4491272,484,1768.3375244140625
1682432063.6938457,485,1786.4747314453125
1682432071.9708319,486,2058.543212890625
1682432080.2993858,487,1948.079345703125
1682432088.5519323,488,2182.5126953125
1682432096.9063783,489,2581.078125
1682432105.2155573,490,2184.740478515625
1682432113.8042681,491,1914.8721923828125
1682432122.3637562,492,1720.326171875
1682432130.8851333,493,1693.22314453125
1682432139.3694007,494,1724.389404296875
1682432147.8868403,495,1719.61083984375
1682432156.344672,496,1691.6690673828125
1682432164.9273257,497,1677.8670654296875
1682432173.7928221,498,1780.5589599609375
1682432182.1915967,499,1757.7471923828125
1682432190.6913795,500,1891.424072265625
1682432199.1790566,501,1754.2840576171875
1682432207.5056953,502,1723.601806640625
1682432216.0559967,503,1623.23681640625
1682432224.5680285,504,1628.358642578125
1682432233.1000907,505,1558.6905517578125
1682432241.5371633,506,1581.7110595703125
1682432250.0300436,507,1554.336181640625
1682432258.4381256,508,1539.269775390625
1682432267.0426407,509,1526.947021484375
1682432275.795334,510,1550.719482421875
1682432284.8447978,511,1600.908447265625
1682432294.0178072,512,1637.245361328125
1682432302.9927347,513,1831.1649169921875
1682432311.8850665,514,1849.9083251953125
1682432320.505929,515,2011.35595703125
1682432328.998889,516,2239.42138671875
1682432337.441342,517,2109.227294921875
1682432345.781089,518,1729.6881103515625
1682432354.317153,519,1690.5703125
1682432362.5276904,520,1602.8997802734375
1682432371.2801068,521,1638.982177734375
1682432379.9996936,522,1564.1802978515625
1682432388.5626128,523,1580.2900390625
1682432396.987159,524,1563.5885009765625
1682432405.4349504,525,1597.2908935546875
1682432413.7775686,526,1636.4835205078125
1682432422.2153316,527,1854.655029296875
1682432430.675482,528,2047.3465576171875
1682432439.1200643,529,2106.57666015625
1682432447.586476,530,1923.041259765625
1682432455.9821918,531,1750.8231201171875
1682432464.3115432,532,1651.4871826171875
1682432472.672601,533,1633.7474365234375
1682432481.0916853,534,1562.5572509765625
1682432489.4644656,535,1616.0819091796875
1682432497.8630166,536,1529.9869384765625
1682432506.2890677,537,1571.39306640625
1682432514.919162,538,1553.7431640625
1682432523.3727093,539,1637.4317626953125
1682432531.6937172,540,1662.3436279296875
1682432539.9700966,541,1777.373046875
1682432548.2451136,542,1774.5633544921875
1682432556.5688386,543,1788.6131591796875
1682432564.8413591,544,1697.0875244140625
1682432573.1311185,545,1805.1036376953125
1682432581.462263,546,1700.4771728515625
1682432589.8759496,547,1742.385498046875
1682432598.2176924,548,1636.8455810546875
1682432606.478439,549,1791.0897216796875
1682432614.7183905,550,1620.4630126953125
1682432623.5439756,551,1700.6290283203125
1682432631.9457748,552,1754.9639892578125
1682432640.303898,553,1751.6546630859375
1682432648.6503787,554,1719.2552490234375
1682432657.1308782,555,1602.365478515625
1682432665.4852521,556,1581.2271728515625
1682432673.7664335,557,1589.7247314453125
1682432682.129519,558,1510.1806640625
1682432690.4188964,559,1550.5394287109375
1682432698.6805103,560,1551.7508544921875
